"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[706]",-0.67,0,0.25,-1.26,-0.81,-0.64,-0.49,-0.29,11956.39,1
"log_lik[707]",-1.82,0,0.39,-2.7,-2.05,-1.79,-1.55,-1.16,10812.45,1
"log_lik[708]",-0.67,0,0.25,-1.26,-0.81,-0.64,-0.49,-0.29,11956.39,1
"log_lik[709]",-0.33,0,0.14,-0.66,-0.41,-0.31,-0.22,-0.1,12408.24,1
"log_lik[710]",-3.58,0.01,1.34,-6.88,-4.25,-3.33,-2.62,-1.74,13642.48,1
"log_lik[711]",-0.33,0,0.14,-0.66,-0.41,-0.31,-0.22,-0.1,12408.24,1
"log_lik[712]",-0.33,0,0.14,-0.66,-0.41,-0.31,-0.22,-0.1,12408.24,1
"log_lik[713]",-0.06,0,0.07,-0.23,-0.09,-0.05,-0.02,0.03,10015.7,1
"log_lik[714]",-0.06,0,0.07,-0.23,-0.09,-0.05,-0.02,0.03,10015.7,1
"log_lik[715]",-0.06,0,0.07,-0.23,-0.09,-0.05,-0.02,0.03,10015.7,1
"log_lik[716]",-0.06,0,0.07,-0.23,-0.09,-0.05,-0.02,0.03,10015.7,1
"log_lik[717]",-0.07,0,0.05,-0.21,-0.09,-0.05,-0.03,-0.01,10719.32,1
"log_lik[718]",-0.07,0,0.05,-0.21,-0.09,-0.05,-0.03,-0.01,10719.32,1
"log_lik[719]",-0.07,0,0.05,-0.21,-0.09,-0.05,-0.03,-0.01,10719.32,1
"log_lik[720]",-0.07,0,0.05,-0.21,-0.09,-0.05,-0.03,-0.01,10719.32,1
"log_lik[721]",-0.24,0,0.12,-0.54,-0.3,-0.22,-0.15,-0.07,11825.77,1
"log_lik[722]",-0.24,0,0.12,-0.54,-0.3,-0.22,-0.15,-0.07,11825.77,1
"log_lik[723]",-0.24,0,0.12,-0.54,-0.3,-0.22,-0.15,-0.07,11825.77,1
"log_lik[724]",-0.24,0,0.12,-0.54,-0.3,-0.22,-0.15,-0.07,11825.77,1
"log_lik[725]",-0.64,0,0.26,-1.24,-0.78,-0.6,-0.45,-0.26,12031.99,1
"log_lik[726]",-1.91,0,0.42,-2.86,-2.15,-1.86,-1.61,-1.21,12164.07,1
"log_lik[727]",-1.91,0,0.42,-2.86,-2.15,-1.86,-1.61,-1.21,12164.07,1
"log_lik[728]",-1.91,0,0.42,-2.86,-2.15,-1.86,-1.61,-1.21,12164.07,1
"log_lik[729]",-1.52,0,0.29,-2.14,-1.7,-1.5,-1.32,-1,13142.64,1
"log_lik[730]",-1.52,0,0.29,-2.14,-1.7,-1.5,-1.32,-1,13142.64,1
"log_lik[731]",-1.22,0,0.43,-2.21,-1.48,-1.17,-0.91,-0.54,11535.64,1
"log_lik[732]",-2,0,0.39,-2.9,-2.2,-1.95,-1.73,-1.37,15041.04,1
